1	5	1
1	56	1
2	4	1
3	2	1
3	7	1
4	32	1
5	3	1
6	50	1
7	6	1
9	3	1
9	68	1
10	22	1
10	74	1
11	23	1
12	3	1
13	20	1
14	8	1
14	44	1
14	61	1
15	8	1
15	20	1
16	43	1
17	3	1
17	62	1
20	5	1
23	8	1
23	47	1
27	8	1
28	8	1
29	8	1
30	2	1
30	8	1
30	42	1
31	2	1
31	3	1
31	8	1
32	3	1
33	8	1
34	69	1
36	3	1
36	26	1
37	34	1
37	89	1
38	34	1
39	13	1
40	8	1
40	21	1
41	33	1
42	5	1
42	26	1
43	3	1
43	12	1
45	50	1
46	43	1
47	33	1
49	53	1
50	8	1
50	81	1
52	3	1
52	5	1
55	2	1
58	2	1
58	8	1
59	8	1
59	22	1
62	3	1
62	11	1
63	5	1
64	5	1
64	42	1
65	2	1
65	40	1
67	35	1
70	8	1
70	41	1
71	3	1
72	8	1
72	12	1
74	5	1
74	23	1
74	39	1
74	81	1
75	3	1
75	24	1
76	8	1
76	21	1
77	93	1
77	100	1
78	5	1
78	50	1
79	93	1
82	8	1
84	8	1
84	55	1
85	3	1
85	11	1
85	61	1
85	72	1
86	5	1
87	90	1
89	3	1
91	2	1
91	69	1
93	3	1
94	2	1
94	5	1
94	7	1
94	8	1
95	67	1
97	3	1
97	69	1
98	8	1
99	47	1
100	3	1
103	3	1
103	46	1
107	56	1
108	3	1
108	8	1
108	48	1
111	2	1
111	56	1
112	2	1
112	5	1
112	9	1
112	56	1
115	3	1
115	8	1
116	3	1
116	5	1
116	46	1
118	2	1
118	8	1
119	7	1
119	98	1
120	5	1
120	8	1
121	88	1
122	8	1
122	11	1
122	69	1
122	88	1
123	2	1
123	8	1
123	93	1
124	2	1
124	5	1
124	8	1
124	26	1
124	56	1
126	10	1
127	75	1
128	47	1
130	52	1
130	82	1
131	3	1
131	71	1
131	93	1
132	8	1
132	56	1
133	8	1
135	77	1
136	5	1
137	2	1
137	11	1
137	55	1
138	8	1
139	4	1
139	7	1
139	72	1
141	5	1
141	23	1
141	93	1
142	100	1
143	8	1
144	3	1
145	3	1
145	93	1
146	22	1
148	8	1
148	69	1
149	8	1
152	8	1
153	98	1
154	2	1
154	9	1
154	41	1
155	5	1
155	24	1
156	32	1
157	7	1
157	49	1
158	7	1
158	69	1
158	70	1
160	5	1
160	24	1
161	5	1
162	2	1
162	8	1
162	17	1
162	47	1
163	7	1
163	8	1
165	86	1
165	97	1
166	8	1
168	99	1
169	27	1
171	3	1
172	3	1
172	4	1
172	5	1
172	50	1
173	78	1
173	98	1
174	9	1
174	16	1
174	71	1
175	7	1
175	24	1
175	88	1
176	81	1
177	8	1
177	67	1
178	4	1
179	43	1
180	3	1
180	5	1
181	8	1
181	67	1
183	3	1
183	69	1
184	5	1
184	8	1
185	93	1
186	3	1
187	8	1
187	93	1
188	8	1
189	7	1
189	100	1
193	4	1
193	7	1
193	20	1
196	8	1
196	74	1
197	8	1
197	92	1
198	8	1
199	2	1
199	72	1
200	8	1
202	5	1
202	61	1
203	10	1
204	46	1
205	2	1
205	8	1
205	47	1
205	83	1
206	8	1
206	27	1
207	7	1
207	25	1
208	5	1
208	6	1
208	27	1
209	38	1
209	70	1
210	32	1
212	2	1
212	24	1
213	69	1
218	3	1
219	5	1
220	2	1
221	33	1
221	54	1
222	64	1
223	3	1
223	39	1
224	2	1
224	5	1
225	2	1
225	7	1
225	8	1
226	8	1
226	33	1
227	8	1
228	8	1
229	37	1
231	27	1
231	62	1
232	2	1
234	2	1
234	8	1
234	92	1
235	8	1
238	19	1
238	68	1
239	5	1
240	72	1
241	2	1
242	7	1
242	8	1
243	15	1
243	69	1
244	20	1
244	72	1
244	77	1
245	2	1
245	8	1
245	84	1
246	27	1
247	5	1
247	8	1
247	61	1
248	5	1
248	69	1
248	73	1
249	2	1
249	15	1
250	20	1
251	69	1
253	2	1
253	8	1
254	3	1
254	93	1
255	56	1
255	83	1
256	2	1
257	8	1
257	46	1
258	3	1
259	2	1
259	8	1
259	99	1
261	5	1
261	19	1
261	56	1
262	2	1
262	7	1
262	46	1
263	4	1
264	2	1
264	30	1
264	31	1
264	90	1
265	13	1
266	8	1
266	61	1
268	7	1
268	12	1
269	8	1
269	42	1
270	8	1
270	40	1
271	47	1
271	86	1
272	98	1
273	83	1
273	93	1
274	64	1
275	8	1
275	24	1
276	5	1
276	27	1
278	3	1
278	12	1
278	39	1
279	19	1
280	3	1
280	46	1
280	53	1
281	8	1
281	34	1
281	88	1
283	8	1
283	64	1
283	98	1
284	3	1
285	3	1
285	56	1
287	2	1
287	8	1
289	28	1
290	3	1
290	5	1
290	6	1
291	93	1
294	57	1
296	7	1
297	3	1
297	43	1
297	95	1
298	5	1
299	3	1
300	8	1
300	18	1
301	16	1
302	17	1
303	5	1
303	47	1
303	100	1
304	2	1
305	42	1
306	98	1
307	6	1
307	69	1
308	3	1
308	11	1
309	8	1
309	50	1
309	53	1
310	2	1
310	8	1
310	22	1
312	24	1
315	19	1
316	46	1
317	8	1
317	15	1
317	34	1
319	47	1
320	2	1
320	5	1
320	8	1
320	15	1
323	5	1
323	8	1
323	69	1
324	3	1
325	5	1
325	37	1
327	61	1
329	2	1
329	4	1
329	7	1
330	2	1
330	8	1
332	3	1
332	5	1
332	11	1
333	15	1
334	2	1
334	5	1
334	14	1
334	18	1
334	46	1
335	30	1
336	2	1
336	8	1
337	8	1
337	44	1
337	95	1
338	72	1
340	50	1
341	8	1
341	91	1
342	2	1
343	3	1
343	5	1
343	96	1
345	73	1
350	8	1
350	61	1
350	98	1
351	8	1
352	2	1
352	9	1
353	64	1
354	65	1
355	55	1
356	60	1
358	89	1
360	69	1
362	47	1
365	8	1
366	2	1
366	3	1
366	8	1
366	47	1
366	58	1
367	8	1
367	11	1
369	5	1
369	56	1
370	8	1
374	3	1
374	12	1
374	61	1
374	81	1
375	3	1
375	5	1
377	2	1
377	8	1
377	31	1
377	83	1
378	55	1
378	67	1
379	5	1
379	67	1
381	2	1
381	8	1
382	8	1
382	98	1
383	8	1
384	56	1
386	2	1
386	7	1
390	11	1
393	7	1
393	20	1
394	3	1
394	8	1
396	72	1
397	75	1
398	5	1
400	19	1
401	2	1
401	5	1
401	8	1
401	94	1
403	8	1
404	8	1
404	80	1
405	5	1
407	2	1
407	7	1
407	8	1
407	61	1
407	97	1
408	65	1
408	93	1
409	8	1
410	3	1
411	7	1
411	8	1
411	49	1
413	53	1
414	40	1
415	4	1
415	77	1
416	3	1
416	5	1
417	3	1
419	5	1
419	56	1
419	66	1
420	8	1
420	90	1
425	67	1
427	34	1
429	22	1
432	7	1
433	7	1
433	8	1
434	95	1
436	2	1
436	8	1
436	32	1
437	2	1
438	5	1
438	89	1
439	8	1
440	8	1
442	8	1
442	49	1
443	89	1
445	5	1
445	56	1
446	53	1
447	3	1
449	8	1
451	3	1
451	69	1
452	98	1
